country1,country2,value
antiguabarbuda,capeverde,31
antiguabarbuda,chad,31
antiguabarbuda,chile,36
antiguabarbuda,china,27
antiguabarbuda,colombia,39
antiguabarbuda,comoros,31
antiguabarbuda,congobrazz,33
antiguabarbuda,costarica,37
antiguabarbuda,croatia,33
antiguabarbuda,cuba,29
antiguabarbuda,cyprus,27
antiguabarbuda,czechrep,30
antiguabarbuda,czechoslovakia,1
antiguabarbuda,denmark,34
antiguabarbuda,djibouti,30
antiguabarbuda,domrepublic,42
antiguabarbuda,dominica,45
antiguabarbuda,egermany,1
antiguabarbuda,etimor,19
antiguabarbuda,ecuador,36
antiguabarbuda,egypt,27
antiguabarbuda,elsalvador,32
antiguabarbuda,eqguinea,27
antiguabarbuda,eritrea,24
antiguabarbuda,estonia,31
antiguabarbuda,ethiopia,25
antiguabarbuda,fyromacedonia,20
antiguabarbuda,fiji,30
antiguabarbuda,finland,35
antiguabarbuda,france,35
antiguabarbuda,gabon,34
antiguabarbuda,gambia,34
antiguabarbuda,georgia,26
antiguabarbuda,germany,33
antiguabarbuda,ghana,37
antiguabarbuda,greece,33
antiguabarbuda,grenada,47
antiguabarbuda,guatemala,36
antiguabarbuda,guinea,33
antiguabarbuda,guineabissau,31
antiguabarbuda,guyana,44
antiguabarbuda,haiti,40
antiguabarbuda,hanover,1
antiguabarbuda,hessegrand,1
antiguabarbuda,honduras,36
antiguabarbuda,hungary,33
antiguabarbuda,iceland,27
antiguabarbuda,india,28
antiguabarbuda,indonesia,26
antiguabarbuda,iran,24
antiguabarbuda,iraq,21
antiguabarbuda,ireland,32
antiguabarbuda,israel,26
antiguabarbuda,italy,34
antiguabarbuda,ivorycoast,34
antiguabarbuda,jamaica,43
antiguabarbuda,japan,29
antiguabarbuda,jordan,27
antiguabarbuda,kazakhstan,22
antiguabarbuda,kenya,37
antiguabarbuda,kiribati,25
antiguabarbuda,korea,1
antiguabarbuda,kosovo,3
antiguabarbuda,kuwait,24
antiguabarbuda,kyrgyzstan,20
antiguabarbuda,laos,25
antiguabarbuda,latvia,30
antiguabarbuda,lebanon,23
antiguabarbuda,lesotho,30
antiguabarbuda,liberia,32
antiguabarbuda,libya,23
antiguabarbuda,liechtenstein,10
antiguabarbuda,lithuania,32
antiguabarbuda,luxembourg,30
antiguabarbuda,madagascar,32
antiguabarbuda,malawi,33
antiguabarbuda,malaysia,28
antiguabarbuda,maldives,25
antiguabarbuda,mali,31
antiguabarbuda,malta,33
antiguabarbuda,marshallis,23
antiguabarbuda,mauritania,34
antiguabarbuda,mauritius,35
antiguabarbuda,mexico,39
antiguabarbuda,micronesiafs,15
antiguabarbuda,moldova,25
antiguabarbuda,monaco,20
antiguabarbuda,mongolia,30
antiguabarbuda,morocco,28
antiguabarbuda,montenegro,23
antiguabarbuda,mozambique,34
antiguabarbuda,myanmar,21
antiguabarbuda,namibia,34
antiguabarbuda,nauru,21
antiguabarbuda,nepal,24
antiguabarbuda,netherlands,33
antiguabarbuda,newzealand,30
antiguabarbuda,nicaragua,36
antiguabarbuda,niger,32
antiguabarbuda,nigeria,36
antiguabarbuda,nokorea,18
antiguabarbuda,norway,30
antiguabarbuda,oman,26
antiguabarbuda,pakistan,29
antiguabarbuda,palau,17
antiguabarbuda,panama,37
antiguabarbuda,papuanewguinea,31
antiguabarbuda,paraguay,32
antiguabarbuda,peru,37
antiguabarbuda,philippines,29
antiguabarbuda,poland,32
antiguabarbuda,portugal,34
antiguabarbuda,qatar,25
antiguabarbuda,romania,32
antiguabarbuda,russia,24
antiguabarbuda,rwanda,29
antiguabarbuda,svietnam,1
antiguabarbuda,syemen,1
antiguabarbuda,sanmarino,16
antiguabarbuda,saotome,27
antiguabarbuda,saudiarabia,25
antiguabarbuda,saxony,1
antiguabarbuda,senegal,35
antiguabarbuda,seychelles,32
antiguabarbuda,sierraleone,34
antiguabarbuda,singapore,25
antiguabarbuda,slovakia,30
antiguabarbuda,slovenia,31
antiguabarbuda,soafrica,37
antiguabarbuda,sokorea,30
antiguabarbuda,sosudan,15
antiguabarbuda,solomonis,27
antiguabarbuda,somalia,26
antiguabarbuda,spain,34
antiguabarbuda,srilanka,28
antiguabarbuda,stkitts,45
antiguabarbuda,stlucia,45
antiguabarbuda,stvincent,45
antiguabarbuda,sudan,30
antiguabarbuda,suriname,42
antiguabarbuda,swaziland,31
antiguabarbuda,sweden,34
antiguabarbuda,switzerland,30
antiguabarbuda,syria,23
antiguabarbuda,taiwan,2
antiguabarbuda,tajikistan,24
antiguabarbuda,tanzania,36
antiguabarbuda,thailand,28
antiguabarbuda,togo,33
antiguabarbuda,tonga,29
antiguabarbuda,trinidad,45
antiguabarbuda,tunisia,29
antiguabarbuda,turkey,26
antiguabarbuda,turkmenistan,22
antiguabarbuda,tuscany,1
